3,New Chains of Honour,1,,N C O H²,35|7,693|693
114,S.P.E.C.T.R.E.,18,,SPECTRE,160|67|246|387|295|396|8|298|33|69|22|73,170|3|4964|60|187|4964|4731|60|158|170|5943|5393|118|225|5706|3292|7198|3|7470|187|272|8514|1835
115,Four Symbols,1,,F.S,71|50,4505
116,Yakuza Northwest,56,,ykz*NW,721|98|79,1048|3006|2576|406|3010|7490|2583|2468|1100|1055|6378|3847|1626|5965|897|3903|2859|3961|3793|3414|2868|1432|4449|6218|1279|3606|1732|1310|2232|2595|3686|1724|10874|1195|3499|674|1084|10338|4300|7330|2265|2317|3306|2408|1505|1262|1115|6967|4924|573|1069|3404|3206|1470|12464|18051
120,Nemesis Republic,52,,NMS - RP,75|396|398|255|425|73|387|159|789|133|606|79|51|322|22|93|539|181,6018|3841|182|9000|2711|183|3534|1827|4296|164|6031|2585|1905|3463|1537|3091|641|2465|186|197|17001|3815|3806|4982|1980|432|1253|1361|3358|815|614|5336|3349|391|5379|6048|2578|3702|2325|9225|16899|11304|7717|3580|3258|4090|2234|3217|5959|3115|17683|1708
123,Kane and Abel,1,,K&A,,22574|7024|7024
126,LogicaCMG,1,,3105,551|297|94|235|21|31|598,15871
127,-,1,,-,129|267|235|39|69|269|7,1887
129,~~{M}~~,9,,~~{M}~~,763|307|297|127|8|355|267|179,1754|2277|7278|4361|5076|7540|13095|5075|21577
131,Guardians of light,35,,Guard.OL,61|398|396|246|295|163|34,9286|1162|2513|4207|4254|8|11|8821|1932|5147|5307|1584|3239|2248|2436|6596|2184|5632|3081|393|2743|10681|11976|7131|4154|5269|4800|4487|1799|3716|3412|1762|7060|290|300
132,shutting down,1,,the end,,22574|6426
133,Templars-TJA,17,,Temp!ars,700|398|51|34|606|79|185|188|120|551|181,577|496|1723|40|115|1739|3726|8843|3162|4089|4|4005|618|9904|1582|5354|576
134,Pikachu,2,,Pikachu,359,2379|1617
135,THE AGE OF DARK SUN  ,1,,D.S AGE,,22574|15766
142,apa NE,1,,apa NE,165,843
143,power A @,6,,power a@,235|6|69|232|7|19|80|24|10|310,3549|3893|3057|1923|15226|2496
144,Malazan Empire,2,,MALAZAN,,22574|4360|4542
151,Kings Nor Enemies  ,3,,KNE,491|28|195|379|177|235|207,3397|3139|9304
154,Super|Soldiers,5,,{~S|S~},379|69|235|28,2762|2762|2590|2377|3150|3088
159,Tesco Slogan Thieves,55,,TST,780|539|89|53|162|243|120|387|73|75,2616|3517|3514|1149|3515|2744|3514|2542|2744|4023|2616|3477|469|2538|4379|1759|1358|2610|4861|1813|771|3515|4926|10252|6014|10250|4872|11014|6636|1800|3517|1098|3659|2056|6737|379|14169|2760|3941|1286|4916|7932|3652|2586|4684|1416|9907|2983|1666|3631|10325|2905|2471|2775|4039|4126|2580|1389|1149|3765|6641
160,TURISAS,20,,TURISAS,783|700|545|303|173|602|114|491|235|270|7|244|94|80|69|210|107|177|22|56|33|16|108|39|191|21|261|599|332|425|73|75|255|527|218,2054|2800|3362|6374|16328|6466|3928|11386|6478|9470|11595|9659|1471|4011|1706|4564|2130|10150|1495|2892
162,The Visitors,20,,V,780|612|53|243|159|73|75|425,970|985|993|5206|1124|12513|6492|1610|855|2195|945|6192|2284|9099|14337|762|780|14578|4209|1985
163,The-DA South West,5,,DA-SW,246|67|396|387|65|210|131,1182|2100|1346|3564|3781
164,Free to Play,3,,f2p,572|107|235|21|210|179|171|81|15|187|177|135|108|218|100|8,3030|3752|2303
165,apocolips,1,,apa,142,559
171,Irish freedom fighters,10,,!rish,550|411|210|336|379|71|363|107|235|100|44|164,3772|4076|2977|11778|11461|2817|4613|12182|3381|13573
173,TB-ENiGMA,38,,TB-E,848|93|840|79|789|790|395|177|71|160|599|182|61|181|22|393|246|235,8627|11501|11472|4828|10457|10459|11770|8626|8513|14276|10458|11589|3701|3077|9925|2004|11759|13267|6924|7771|16221|6818|4196|4991|10827|8169|450|15881|10419|9418|2376|6091|7995|6203|10227|2335|9865|1657
177,Kingdom Of Angels,3,,KOA,383|398|173|535|602|599|561|497|151|34|235|237|210|85|160|164|545|252,6887|4799|2450
179,Magpies,2,,**M**,80|235|210|129|164,2483|6821
181,the doomed blokes,42,,DBA,,22574|2999|10517|7455|2999|3419|7455|2235|3155|10517|1777|2178|12117|5709|10726|9300|6373|2473|3511|10730|11708|17407|10127|3332|17408|7146|3248|2740|7646|2529|4778|14698|16730|2073|14956|16966|10508|2632|10955|2306|3245|19078|7394|4138|11294|20643
182,ENIGMA-SDD NORTHWEST,6,,E-SDD-NW,173|310,1598|1598|7705|10346|1257|4334|7231
185,₪ §øul - ξa†erş ₪,32,,§.Eaters,322|336|606|133|79,320|407|317|414|1795|4351|4437|2049|5225|13750|6453|5680|5488|422|16614|7056|624|4399|635|3796|12640|1863|316|2723|2394|2183|17082|6223|15901|6104|1015|6546
187,Vampires,7,,Vampires,700|798|586|491|550|107|235|100|298|69|164,837|837|7449|13186|2032|18408|20542|19995
188,Silver Daggers,19,,-SD-,22|527|255|425|73|61|133|606|181|550|75|79,5713|3176|535|99|6025|372|336|304|1894|3641|126|7264|512|2287|563|2437|7301|16671|18669
191,freedom,2,,3dom,80|160|80|160,6657|3174|3174|6657
195,United Defense Force,8,,UDF,548|791|535|151,4607|4358|16619|17616|19854|4230|18520|18326
198,~We Are Gods~,1,,~WAG~,,22574|1857
200,ULTIMATE POWER ™,1,,U.P. ™,,22574|4052|4052
203,The Gathering,1,,T-G,,22574|3674|3674
206,BALANCE NW,3,,B-NW,107|235|22|700|51|93,161|176|117
207,Demon Rage,10,,D.R.,545|535|135|393|363|151|235|219|288|6|69|210,2916|6808|8748|6726|8503|4998|3586|6021|5754|3826|8503|6726|6021|2916|3586|8748|5754|4998|3826|6808
210,HARDCORE,12,,PR3,,22574|11351|10501|10501|13495|11351|11067|11109|11236|6321|10583|11291|6423|2502|16417
215,Knight Of Old,4,,K.O.O.,,22574|899|10711|14237|899|16927
218,Empire+1,4,,Empire+1,535|235|164|21|135|94|160,2381|3811|4186|1571
219,Luxans,13,,LUX,93|815|699|71|535|565|576|235|207|522,2368|3059|3436|5221|7211|10560|3059|2368|5854|5647|5608|16031|3436|11525|5227|10967|5221
221,The Daisy Chain Society,5,,DCS,599|491|545|56|255|550|295|39|598,1012|2634|3480|1012|3480|2634|1848|4030
223,RE-PAX,4,,-R.P-,80|235|39,7388|3562|4637|4081
226,FALCONREBELS,1,,falcon1,,22574|5716|5716
232,Power Apple,1,,Power.A?,235|143|19|7|85|80,3890
234,World 3 Legends,1,,W3L,,22574|4495|4495
235,The Matrix,25,,Matrix,617|624|788|522|571|521|602|307|393|391|550|474|418|383|363|22|135|206|269|28|6|179|219|164|237|296|126|41|54|94|171|19|232|85|187|56|127|69|218|71|93|151|223|80|107|160|100|7|143|39|210|244|108|177|31|44|207|291|154|700|840|790|599|173|345|574|574,74|5308|11897|3857|7759|7642|7663|4797|2269|9529|8596|15880|6659|10445|15986|17186|4534|9804|5620|12606|10318|18546|12841|12375|16155
236,Torchwood Combine,2,,TCHWD,107|535|700,1994|3194|1994|3194
237,TheVipersAlliance,2,,TVA,602|135|33|235|177|586|550|379|345|322|598,2393|7669
243,Tesco Slogan Thieves 2,54,,TST²,780|539|89|53|162|159,7793|6054|3651|4380|3602|3848|3873|7793|3848|7794|10344|2998|10080|10072|2809|3661|13567|3651|10271|4380|660|6054|3602|11148|10334|10251|3539|4303|10489|3873|584|11167|15993|4043|5774|5714|6107|2835|5385|6320|4604|3339|6197|1200|7055|3452|6168|7678|1071|530|4748|13959|1135|10850|17643|4194|6468|13751|7881|5538|3054
244,Ares - Guardian Eagle,4,,Ares,379|44|8|235|65|160|100,848|4821|3257|470
246,Insert Name Here,20,,XXXX,398|535|163|79|114|67|396|295|840|8|131|536|173|135|108,709|711|3357|7940|1401|711|709|7456|6493|11651|4699|4747|6079|7072|3357|3938|11806|8238|3540|17811|3887|10284|3981
248,Blade Of Honour,1,,BoH,,22574|3683|3683
250,Blood Brothers,2,,B.B.,,22574|589|2290|2290|589
252,Exodus,2,,EXO,177,10268|10231
254,freelance warriors,1,,?free?,576|60|576|60,3676|3676
255,Nemesis Academy,49,,NMS - A,120|767|336|396|387|295|34|527|425|73|75|188|221|74|160|79,11318|8220|3111|10281|10146|11477|14642|3630|8456|7929|242|10519|14801|7074|3288|4167|14440|571|17238|18069|2767|1026|9092|5621|9326|609|8604|15396|10285|15379|343|10534|3416|16108|6413|14974|19091|8772|14159|18504|20531|18593|21476|18597|15969|21694|21374|21628|21780
257,travian street elite,4,,T.S.E,,22574|6124|2706|1957|5845
261,impreza1991,9,,[[I]an]],654|297|94|491|61|160|598,5542|5545|2603|7500|13536|5324|17118|17025|2799
267,~~{M1}~~,5,,~~{M1}~~,395|550|535|127|8|355|129,10092|15075|15710|1902|21787
269,war of really old,2,,world,94|235|127|310,278|397
270,More Love And War,3,,MLAW,135|7|160|69|39|60,3901|2856|8544
271,The Guardians of Light,2,,Guard.TA,,22574|13218|12042
277,Masters Of Arts,3,,M.O.A,,22574|5717|3100|13179
278,UnBeatenStar,10,,UBS ~TF~,617|379|71|598,15403|6005|5899|13271|6267|6005|3656|15403|17256|11691|17972|15957
280,Czecho-Slovakia Knights,1,,CZK,,22574|507|507
282,The Prune Armies,7,,Prunes,,22574|6999|9042|8450|6057|13125|9111|6896|6057|9111|6999|9042|8450|6896|13125
288,Gods Of War,2,,=GOW=,535|207,3410|8707
289,The New Dawn,2,,T.N.D.,,22574|2563|2563|14308
291,UnKnown,1,,UK,,22574|10840
295,St.Albans City,3,,STA!,398|74|73|527|255|75|246|387|67|114|79|396|34|131|61|221|98|116|598,2818|6324|2115
296,Death Charge Elite,4,,D~C~E,535|235|7|85,6086|8434|8064|10772
297,Play.For.Fun,17,,P.F.F,261|54|551|398|126|129|550|535|332|379|181|391,9409|10012|3723|7512|12597|16518|5389|14048|14265|9083|10254|7460|4343|3964|4467|21558|4972
298,Knights Of The Rising Sun,1,,KOTRS,303|187|114|22,7172
303,Commonwealth,12,,CW,,22574|7670|14567|7981|10302|7670|7981|10302|11681|6391|14567|15836|11179|17136|17139|15858|21547
304,TJB,7,,ZOSO,535|535,5434|12372|6662|18583|14089|5434|6662|12372|18583|14089|20904|21166
307,101 B,7,,101 B,545|129|235|370|54|598,8025|11706|13013|11685|7439|8908|16105
309,No Retreat No Surrender,9,,NRNS,491,7569|7568|7569|9713|7568|7615|9716|7659|4787|18595|7907
310,boom + power a suck!,5,,BPS,370|574|598|535|391|182|578|418|474|721|98|116|89|269|67|232|143|131|19|7|85,2467|1599|10499|2467|16864|1599|16688
314,tigers militia,5,,tigers M,65,873|568|375|413|3672
318,The Imperial Alliance,1,,Imperial,,22574|7796|7796
322,Elite Evil Soldiers,38,,EES,51|398|185|135|545|210|377|33|497|363|379|552|120|551|237,10764|8752|8473|10071|10844|12159|9209|1137|10745|8809|8850|9644|14352|13801|9627|12166|14651|12248|9208|18047|10678|10514|11517|1689|12348|10819|8733|8255|17586|11579|11418|18171|17689|11683|18872|19405|17773|8823
323,gangstas,1,,gsta,,22574|8788|8788
329,Knights of the night,1,,KOTN,,22574|8498|8498
332,Phoenix! dragon,8,,Phoenix!,681|596|517|303|535|518|297|160|681|596|517|303|535|518|297|160,13686|13483|14944|20086|394|10222|18174|10101
336,CYMRU AM BYTH,35,,CAB~GGA,79|724|551|51|398|425|497|75|73|255|527|171|210|34|185|271|790|93|599|24|598,11693|10307|5575|6032|3670|9434|11357|9578|10307|9434|11848|5575|11693|6032|2226|11401|11406|2103|11402|11357|11400|8970|8486|13857|12580|10094|10946|5853|3670|1231|5871|14273|12504|8079|17762|17074|7750|2880|12449|17065|9578|3654|13029
337,Fight For Freedom,5,,FFF,,22574|11482|10763|5327|11482|10763|9862|14090
340,us2,1,,ES,,22574|3369|3369
342,Primal Fury,4,,P.F.,,22574|871|871|6935|874|6933
343,Training For The Win,2,,T FTW,,22574|7598|8656
345,Viper TSN,23,,V-TSN,789|54|100|235|237,6204|9640|1845|14767|797|16689|17977|12691|4481|11861|1360|5593|3987|8072|10424|8326|14156|13276|13309|11389|17583|8417|21644
348,Seventh.Sanctum,4,,~S.S~,535|463|7,12364|12364|17356|12160|9948
355,m4,9,,m4,551|107|535|267|129,376|8624|8826|8812|17173|19715|17142|19977|19315
356,roman empire,4,,heros,,22574|5788|5788|6310|7790|7467
359,S.D.D Training Academy,1,,S.D.D TA,,22574|2953
360,Alpha Omega Alliance,5,,AOA,504|535,8590|8844|16823|8590|8844|16823|9352|7829
361,Army of Excellence,1,,AoE,395|379,11962
363,North East Coalition,55,,FFH-D.S,79|33|39|322|54|80|44|235|171|207|545|551|539|89,8705|11245|8387|10382|10792|5154|8511|14660|8771|11840|9389|8385|9672|9373|7831|12807|4544|10869|1053|13502|4493|6253|11459|9371|7901|11965|10732|4654|9479|9503|11838|8179|17102|11456|4662|10213|15837|12226|8906|10096|6388|11671|11900|9159|7196|4460|10462|13501|18760|18899|6261|16030|10836|17510|7802
370,Caketown,5,,300PG,310|550|307|392,8280|8282|8259|9226|20109
377,Angels ,37,,Angels2,33|322|271|74|22,14344|891|13442|7126|4041|14350|5657|12180|9915|682|12181|5822|4329|321|3945|16154|14345|10649|7593|12499|16819|12497|3749|11114|6040|7869|145|1816|11564|16548|16729|9075|19487|12410|11644|20580|20870
378,The Templar Knights,3,,temkit,550|576|535|497|474,9012|11057|12523
379,Warriors Of St.Edmund,27,,WSE ~TF~,596|624|278|550|535|154|171|151|244|322|297|39|790|559|708|237|361,4410|11247|10930|10930|11247|17562|16124|4410|17655|13988|10777|16448|12871|4365|8817|16696|10306|17822|16463|19116|18952|14222|10313|18618|16143|12024|20544|18588|22103|22262
383,D.S. Dark Sun Warpigs,3,,DS-WoD,602|177|545|535|135|235|598,14032|11050|9041
384,Systematic Chaos,3,,*S*C*,,22574|7440|8983|7120
385,The Gladiators,1,,TG,,22574|9897
386,strike team 3000,3,,=[ST3]=,,22574|11159|11159|11265|12537
387,Nemesis - WeirdPea,56,,NMS - WP,767|74|398|120|425|73|527|255|75|34|79|163|114|67|396|295|159|93|181|107|80|51,8612|8837|8611|9229|9673|11285|10653|8390|8989|12261|8986|8666|4013|10589|9201|8499|10470|977|133|10408|11931|4278|8731|16882|9905|6384|17458|10123|8075|17|12556|16665|9379|16976|13564|12846|8087|11481|8743|14555|18470|15153|13823|8210|9072|5592|11592|10849|16635|11935|17083|12012|15362|16099|13996|19806
391,Spartan Elites,9,,300,596|572|235|497|318|310|297,5078|11347|2582|2541|5078|2541|2582|2239|11347|9555|3326|20586|14281
392,NEW ORDER,18,,NO,497|535|370,8440|10510|9048|5103|13586|15214|12196|8794|16997|17449|13593|15207|17743|17630|18769|10224|19554|18689
393,Army Of Thieves,22,,AOT,93|645|790|545|699|565|535|235|427|497|484|490|207|504|840|395|599|173,12333|11628|5961|12897|2276|13117|14124|9771|13793|11124|14172|15426|18915|17381|11480|9826|15851|16265|14473|13432|17628|20697
395,The Guardians,25,,Knights,681|790|173|267|599|491|361|79|517|398|393,15284|16449|14572|11399|4681|11399|11947|16449|16378|17282|14572|15284|14095|9753|12455|15328|19079|14518|4681|16887|12796|14615|19812|18238|20637|20316|11934|20210|20056|22117
396,St.Albans City 2,7,,STA!2,120|398|163|75|255|527|73|246|387|67|114|79|34|295|131|61,1255|710|1255|1846|1033|6077|1041|6826
397,The United Alliance 2,2,,The U.A2,535|44,8706|9472
398,Getgaming Alliance,39,,GGA-SX,120|700|246|93|22|322|790|789|425|617|551|295|396|177|210|336|100|75|73|387|527|133|51|34|550|545|297|71|395|8|80|602|606|131|599|474|598,12601|11637|11633|11634|1144|13799|14587|11915|6442|12384|14862|12469|13818|14294|12961|13696|7924|14952|15852|15472|11835|15238|13838|17022|12026|15531|15597|15199|17523|11727|15593|17168|12785|17438|16357|16904|18121|22182|21761
407,The Unholy King,4,,TUK,,22574|4805|4805|7149|15708|11673
410,Neoville Village Guard,1,,230294,,22574|11079|11079
411,New Roman Order,1,,N.R.O.,,22574|15335
416,SD6,1,,SD6,,22574|6943|6943
418,The Undead Army,4,,TUA,54|535|210|44|235|310,8411|7026|13152|18815
425,DicTaTor,33,,NMS -DDT,120|398|34|336|387|527|75|255|73|188|74|160|162,1797|1095|16422|2069|3020|1790|2618|3086|4169|4999|1593|249|3114|5384|4526|415|10950|3250|3123|2726|17990|9148|9755|15070|6185|2822|2562|2912|10917|17919|2670|11735|13886
426,United Travian,6,,*UT*,535|60|474|135,13488|13263|13445|12906|15609|15856
427,Knights of Pasaz,2,,Pasaz,393|504,7918|10352
435,PRIDE,5,,PRIDE,303,11639|16134|14209|14100|15247
436,The Germans,1,,Ger,,22574|15941
440,Nation of Dragonriders,9,,FireRide,,22574|12544|14739|13754|14214|19426|18135|18135|12544|19404|13754|14214|18324|20675|19426|14739
441,Religious Riots,1,,R.R.,535,14355
