160,meomwt,961,285,3,Romans,93,328802&c=16|328801&c=21|329604&c=50
161,Narradine,1168,196,4,Romans,206,310387&c=c5|309585&c=be|311188&c=30|310388&c=f9
163,kimbop,106,3570,1,Teutons,,324820&c=33
164,yomus,638,596,2,Romans,120,330406&c=db|396725&c=5a
166,moomin85,267,1914,1,Gauls,363,321591&c=f8
167,davinci3,299,1706,1,Romans,65,319185&c=0a
169,Ghosts,437,1047,1,Romans,33,316809&c=5b
170,krull,1424,138,4,Romans,114,331220&c=53|330418&c=21|331219&c=6b|331221&c=25
171,Alubob,621,633,2,Gauls,67,325596&c=49|324795&c=e1
172,kymbo,126,3239,1,Romans,,315982&c=e8
174,Kahlan2,966,283,2,Gauls,780,311996&c=6d|310395&c=d3
175,hades,25,5475,1,Romans,,316785&c=5b
176,-PF-,756,462,3,Romans,206,311982&c=55|312783&c=23|314384&c=b7
177,kotinka,1194,185,3,Gauls,721,331209&c=94|330408&c=a8|329606&c=b9
178,lord bunny,159,2859,1,Teutons,,332012&c=4e
182,Gabbs,769,451,2,Gauls,120,325619&c=06|326420&c=3d
183,ends,695,529,2,Romans,120,311182&c=8b|266243&c=50
184,Leanne_marie,839,377,3,Teutons,33,320013&c=ac|320014&c=1e|319212&c=dd
186,comic,462,959,1,Romans,120,319184&c=15
187,DI33LEY,440,1038,2,Teutons,114,331215&c=4a|331214&c=59
190,Seraphim,787,435,2,Teutons,780,317583&c=be|317521&c=5e
197,Lingo,455,984,1,Romans,120,314380&c=33
203,Grendel,385,1260,1,Gauls,93,312787&c=4d
206,wdking1976,978,280,2,Romans,721,330413&c=28|329613&c=8c
212,The Warners,356,1397,1,Romans,93,311990&c=54
215,Southpaw,262,1946,1,Gauls,,328803&c=09
223,Pavolus,484,898,1,Gauls,75,316783&c=9b
225,Hayburn,676,553,2,Gauls,114,336824&c=b1|336024&c=c4
229,Baby,186,2583,1,Teutons,,327223&c=8b
230,veg,1454,134,3,Gauls,585,329603&c=a4|334421&c=81|332813&c=62
232,blade1969,893,337,3,Gauls,8,331211&c=49|330409&c=8a|328807&c=a5
235,lady death,561,752,2,Gauls,73,311201&c=89|312000&c=1b
236,Izzy Eviel,1129,216,3,Teutons,79,307194&c=83|258395&c=fd|259997&c=30
242,doom master,406,1169,2,Gauls,255,314411&c=69|292015&c=c3
244,ciskid,331,1507,1,Gauls,,331226&c=50
248,I7evil,503,856,2,Romans,75,311974&c=41|315177&c=6f
249,homer123,629,618,2,Romans,425,323191&c=25|323192&c=bc
250,Snoozy,326,1537,1,Gauls,107,320814&c=aa
252,lewis105,88,3865,1,Gauls,576,320786&c=2f
254,gav 29,416,1124,1,Romans,93,308780&c=b4
256,josh_boi3,546,774,2,Romans,721,334426&c=db|334425&c=37
257,Charlotte,253,2009,1,Gauls,65,308776&c=25
259,Jamesy2,1742,90,4,Gauls,75,316815&c=37|324015&c=03|323215&c=3b|324016&c=76
260,Large Lord,1413,141,3,Teutons,75,311202&c=55|299202&c=ea|295197&c=a7
263,Grog,194,2516,1,Teutons,80,336817&c=8e
264,sumac1066,674,554,2,Gauls,67,321618&c=a0|322420&c=7b
271,dynamic11,1320,162,4,Romans,73,306389&c=f0|308789&c=cb|305585&c=c2|322399&c=4f
272,The Shadow King,431,1072,2,Teutons,114,324020&c=39|444312&c=ae
273,nildo45,629,617,2,Romans,93,311175&c=4c|310373&c=7c
275,azeroth,798,420,2,Romans,,307178&c=6e|307176&c=f7
277,jammy111,107,3553,1,Romans,,305584&c=7e
278,Taneb,310,1638,1,Gauls,269,306377&c=35
279,wuvarien,614,640,3,Romans,79,315211&c=5e|251190&c=05|251189&c=f8
280,king,329,1521,1,Romans,,328799&c=b8
281,lamykins,276,1849,1,Romans,93,310376&c=d1
283,ashconmoorg,241,2104,1,Romans,,307995&c=8f
285,jacklale234,240,2117,1,Gauls,73,307186&c=c2
287,Fiona,204,2423,1,Teutons,,321585&c=ff
288,god,308,1648,1,Teutons,,334409&c=6b
290,Dion,234,2163,1,Romans,131,312002&c=e3
292,Matt Staples,1970,62,4,Gauls,73,315212&c=46|324814&c=cb|323216&c=3b|311207&c=a4
294,IronMan,176,2686,1,Romans,,307185&c=d6
296,trotsky,289,1767,1,Romans,80,336020&c=38
297,MARS,723,504,2,Romans,,331203&c=26|332003&c=0f
298,Chimp306,353,1410,1,Romans,,328027&c=a7
300,leon,178,2662,1,Romans,131,311200&c=b4
301,runningwolf,2558,22,6,Romans,79,254394&c=20|248771&c=ac|310399&c=46|259195&c=98|235154&c=d9|233570&c=eb
304,JackT,575,719,2,Teutons,188,322423&c=52|324826&c=44
305,sentinal c,208,2371,1,Gauls,,320020&c=3f
311,ausy,259,1964,1,Gauls,,308795&c=19
315,lucky,392,1228,1,Romans,34,332809&c=ce
316,badgerjmg,266,1917,1,Romans,185,304784&c=3e
317,wrcampbell84,726,499,3,Romans,185,307193&c=45|247953&c=84|259167&c=5b
318,Venom,100,3680,1,Romans,,332825&c=47
320,Seigfried,1127,217,4,Teutons,185,306382&c=1c|191747&c=11|190946&c=21|190945&c=c1
321,dazmondo0,317,1598,1,Romans,377,320817&c=a8
324,Ozziewold,606,655,2,Romans,721,307976&c=c7|319155&c=fe
327,yeungj,554,761,1,Gauls,34,334410&c=22
333,Godking,572,728,1,Romans,93,305581&c=d7
336,bobbybaru,622,630,2,Romans,188,329624&c=c8|329625&c=40
337,Vae,1967,63,4,Romans,75,305589&c=c1|304785&c=a7|298368&c=04|300774&c=31
338,madrock,109,3505,1,Romans,,336825&c=75
342,Chickiebabe,1306,164,4,Gauls,73,307187&c=7e|303187&c=76|300785&c=d9|298374&c=33
343,J.Mc,216,2302,1,Gauls,255,334423&c=ca
347,huskycreckless,372,1322,1,Teutons,780,307973&c=b7
353,Septimus,438,1045,2,Gauls,767,308798&c=58|310400&c=3f
356,cazzah,171,2731,1,Romans,,332807&c=5f
357,rome,162,2822,1,Romans,,322387&c=ab
361,Kallistos,177,2671,1,Gauls,,307982&c=35
362,Prython,330,1513,1,Teutons,545,333621&c=07
366,manga,100,3679,1,Gauls,,334427&c=62
367,tex,311,1630,1,Romans,,325589&c=ea
368,muninnhuginn,294,1745,1,Gauls,,306381&c=53
370,Teuton Jack,210,2356,1,Teutons,80,332804&c=1d
372,pen15,718,507,2,Gauls,188,328028&c=05|328829&c=aa
375,umanga,159,2858,1,Gauls,314,331223&c=8e
376,farm,350,1425,1,Romans,355,335212&c=b5
378,oz-oddysey,383,1268,2,Romans,83,305598&c=5a|304796&c=be
379,vinny,1022,258,3,Teutons,159,326427&c=6d|326425&c=38|326429&c=15
385,dizzymissy21,824,391,2,Romans,80,334416&c=8e|339102&c=e7
386,maj,82,3956,1,Romans,,318379&c=e9
391,mr kupo,369,1334,1,Romans,120,306375&c=06
392,Velucias,463,957,2,Gauls,79,305594&c=7d|267210&c=b1
